model,seed,precision,recall,f1_score,mAP@0.5,mAP@0.5:0.95,AP75,AP_Agglomeration,AP_Bubble,AP_Crack,AP_Scratch,params_M,flops_G,fps
model1_baseline,42,87.5,85.7,86.6,88.7,56.4,62.0,88.0,85.9,87.0,92.6,2.6,6.4,101
model1_baseline,123,87.5,85.8,86.6,88.4,56.3,61.8,88.1,85.8,87.1,93.0,2.6,6.4,101
model1_baseline,456,87.3,85.8,86.6,88.5,56.6,62.0,88.3,86.2,87.3,92.7,2.6,6.4,101
model1_baseline,789,87.6,85.8,86.7,88.4,56.4,61.8,88.4,86.1,87.2,93.0,2.6,6.4,101
model1_baseline,2024,87.4,85.8,86.6,88.9,56.5,61.7,88.1,86.4,87.5,93.1,2.6,6.4,101
model2_c3k2_dwr,42,88.6,86.5,87.5,89.6,57.2,62.6,88.6,86.7,88.3,93.5,2.72,6.7,98
model2_c3k2_dwr,123,88.6,86.6,87.5,89.3,57.1,62.4,88.7,86.6,88.4,93.9,2.72,6.7,98
model2_c3k2_dwr,456,88.4,86.6,87.5,89.4,57.4,62.6,88.9,87.0,88.6,93.6,2.72,6.7,98
model2_c3k2_dwr,789,88.7,86.6,87.7,89.3,57.2,62.4,89.0,86.9,88.5,93.9,2.72,6.7,98
model2_c3k2_dwr,2024,88.5,86.6,87.5,89.8,57.3,62.3,88.7,87.2,88.8,94.0,2.72,6.7,98
model3_eac,42,88.2,87.0,87.6,89.4,56.9,62.1,88.4,86.6,88.0,93.2,2.65,6.5,99
model3_eac,123,88.2,87.1,87.6,89.1,56.8,61.9,88.5,86.5,88.1,93.6,2.65,6.5,99
model3_eac,456,88.0,87.1,87.6,89.2,57.1,62.1,88.7,86.9,88.3,93.3,2.65,6.5,99
model3_eac,789,88.3,87.1,87.7,89.1,56.9,61.9,88.8,86.8,88.2,93.6,2.65,6.5,99
model3_eac,2024,88.1,87.1,87.6,89.6,57.0,61.8,88.5,87.1,88.5,93.7,2.65,6.5,99
model4_bifpn,42,89.1,88.4,88.7,90.5,58.5,63.9,89.3,87.6,89.1,93.9,2.92,7.1,94
model4_bifpn,123,89.1,88.5,88.8,90.2,58.4,63.7,89.4,87.5,89.2,94.3,2.92,7.1,94
model4_bifpn,456,88.9,88.5,88.7,90.3,58.7,63.9,89.6,87.9,89.4,94.0,2.92,7.1,94
model4_bifpn,789,89.2,88.5,88.9,90.2,58.5,63.7,89.7,87.8,89.3,94.3,2.92,7.1,94
model4_bifpn,2024,89.0,88.5,88.7,90.7,58.6,63.6,89.4,88.1,89.6,94.4,2.92,7.1,94
model5_wise_inner_iou,42,88.1,86.3,87.2,89.3,57.0,62.3,88.2,86.3,87.6,92.9,2.6,6.4,101
model5_wise_inner_iou,123,88.1,86.4,87.2,89.0,56.9,62.1,88.3,86.2,87.7,93.3,2.6,6.4,101
model5_wise_inner_iou,456,87.9,86.4,87.2,89.1,57.2,62.3,88.5,86.6,87.9,93.0,2.6,6.4,101
model5_wise_inner_iou,789,88.2,86.4,87.3,89.0,57.0,62.1,88.6,86.5,87.8,93.3,2.6,6.4,101
model5_wise_inner_iou,2024,88.0,86.4,87.2,89.5,57.1,62.0,88.3,86.8,88.1,93.4,2.6,6.4,101
model6_c3k2_eac,42,88.9,87.7,88.3,90.1,58.2,63.1,89.0,87.3,88.8,93.7,2.77,6.8,97
model6_c3k2_eac,123,88.9,87.8,88.3,89.8,58.1,62.9,89.1,87.2,88.9,94.1,2.77,6.8,97
model6_c3k2_eac,456,88.7,87.8,88.3,89.9,58.4,63.1,89.3,87.6,89.1,93.8,2.77,6.8,97
