model,seed,precision,recall,f1_score,mAP@0.5,mAP@0.5:0.95,AP75,AP_Agglomeration,AP_Bubble,AP_Crack,AP_Scratch,params_M,flops_G,fps
faster_rcnn,42,85.2,84.2,84.7,86.9,52.4,58.5,85.3,83.0,84.4,89.6,28.3,92.5,18
faster_rcnn,123,85.2,84.3,84.7,86.6,52.3,58.3,85.4,82.9,84.5,90.0,28.3,92.5,18
faster_rcnn,456,85.0,84.3,84.7,86.7,52.6,58.5,85.6,83.3,84.7,89.7,28.3,92.5,18
faster_rcnn,789,85.3,84.3,84.8,86.6,52.4,58.3,85.7,83.2,84.6,90.0,28.3,92.5,18
faster_rcnn,2024,85.1,84.3,84.7,87.1,52.5,58.2,85.4,83.5,84.9,90.1,28.3,92.5,18
yolov5s,42,86.6,84.6,85.6,87.3,54.1,59.6,86.6,84.2,84.9,92.2,7.2,16.5,82
yolov5s,123,86.6,84.7,85.6,87.0,54.0,59.4,86.7,84.1,85.0,92.6,7.2,16.5,82
yolov5s,456,86.4,84.7,85.5,87.1,54.3,59.6,86.9,84.5,85.2,92.3,7.2,16.5,82
yolov5s,789,86.7,84.7,85.7,87.0,54.1,59.4,87.0,84.4,85.1,92.6,7.2,16.5,82
yolov5s,2024,86.5,84.7,85.6,87.5,54.2,59.3,86.7,84.7,85.4,92.7,7.2,16.5,82
yolov7_t,42,86.2,84.0,85.1,87.0,54.0,59.3,86.2,83.9,84.6,92.0,6.2,13.2,88
yolov7_t,123,86.2,84.1,85.1,86.7,53.9,59.1,86.3,83.8,84.7,92.4,6.2,13.2,88
yolov7_t,456,86.0,84.1,85.0,86.8,54.2,59.3,86.5,84.2,84.9,92.1,6.2,13.2,88
yolov7_t,789,86.3,84.1,85.2,86.7,54.0,59.1,86.6,84.1,84.8,92.4,6.2,13.2,88
yolov7_t,2024,86.1,84.1,85.1,87.2,54.1,59.0,86.3,84.4,85.1,92.5,6.2,13.2,88
yolov8n,42,86.9,84.3,85.6,87.6,55.2,60.9,87.0,84.8,86.1,91.2,3.2,8.7,98
yolov8n,123,86.9,84.4,85.6,87.3,55.1,60.7,87.1,84.7,86.2,91.6,3.2,8.7,98
yolov8n,456,86.7,84.4,85.5,87.4,55.4,60.9,87.3,85.1,86.4,91.3,3.2,8.7,98
yolov8n,789,87.0,84.4,85.7,87.3,55.2,60.7,87.4,85.0,86.3,91.6,3.2,8.7,98
yolov8n,2024,86.8,84.4,85.6,87.8,55.3,60.6,87.1,85.3,86.6,91.7,3.2,8.7,98
yolov9_t,42,88.4,86.2,87.3,89.2,57.1,62.6,88.5,86.3,87.6,93.1,2.63,7.7,95
yolov9_t,123,88.4,86.3,87.3,88.9,57.0,62.4,88.6,86.2,87.7,93.5,2.63,7.7,95
yolov9_t,456,88.2,86.3,87.2,89.0,57.3,62.6,88.8,86.6,87.9,93.2,2.63,7.7,95
yolov9_t,789,88.5,86.3,87.4,88.9,57.1,62.4,88.9,86.5,87.8,93.5,2.63,7.7,95
yolov9_t,2024,88.3,86.3,87.3,89.4,57.2,62.3,88.6,86.8,88.1,93.6,2.63,7.7,95
yolov10n,42,87.2,84.8,86.0,88.3,55.8,61.5,87.7,85.6,86.3,92.3,2.3,6.8,105
yolov10n,123,87.2,84.9,86.0,88.0,55.7,61.3,87.8,85.5,86.4,92.7,2.3,6.8,105
yolov10n,456,87.0,84.9,85.9,88.1,56.0,61.5,88.0,85.9,86.6,92.4,2.3,6.8,105
yolov10n,789,87.3,84.9,86.1,88.0,55.8,61.3,88.1,85.8,86.5,92.7,2.3,6.8,105
yolov10n,2024,87.1,84.9,86.0,88.5,55.9,61.2,87.8,86.1,86.8,92.8,2.3,6.8,105
yolo11n,42,87.5,85.7,86.6,88.7,56.4,62.0,88.0,85.9,87.0,92.6,2.6,6.4,101
yolo11n,123,87.5,85.8,86.6,88.4,56.3,61.8,88.1,85.8,87.1,93.0,2.6,6.4,101
yolo11n,456,87.3,85.8,86.6,88.5,56.6,62.0,88.3,86.2,87.3,92.7,2.6,6.4,101
yolo11n,789,87.6,85.8,86.7,88.4,56.4,61.8,88.4,86.1,87.2,93.0,2.6,6.4,101
yolo11n,2024,87.4,85.8,86.6,88.9,56.5,61.7,88.1,86.4,87.5,93.1,2.6,6.4,101
rtdetr,42,88.9,87.0,87.9,89.6,58.6,63.9,88.9,87.2,88.3,92.7,20.2,60.1,72
rtdetr,123,88.9,87.1,87.9,89.3,58.5,63.7,89.0,87.1,88.4,93.1,20.2,60.1,72
rtdetr,456,88.7,87.1,87.9,89.4,58.8,63.9,89.2,87.5,88.6,92.8,20.2,60.1,72
rtdetr,789,89.0,87.1,88.1,89.3,58.6,63.7,89.3,87.4,88.5,93.1,20.2,60.1,72
rtdetr,2024,88.8,87.1,87.9,89.8,58.7,63.6,89.0,87.7,88.8,93.2,20.2,60.1,72
cebw_yolo11,42,91.3,90.4,90.8,92.5,61.2,68.6,91.6,89.3,92.9,94.9,3.09,7.5,90
cebw_yolo11,123,91.3,90.5,90.9,92.2,61.1,68.4,91.7,89.2,93.0,95.3,3.09,7.5,90
cebw_yolo11,456,91.1,90.5,90.8,92.3,61.4,68.6,91.9,89.6,93.2,95.0,3.09,7.5,90
cebw_yolo11,789,91.4,90.5,91.0,92.2,61.2,68.4,92.0,89.5,93.1,95.3,3.09,7.5,90
cebw_yolo11,2024,91.2,90.5,90.8,92.7,61.3,68.3,91.7,89.8,93.4,95.4,3.09,7.5,90
