model,seed,precision,recall,f1_score,mAP@0.5,mAP@0.5:0.95,AP75,AP_Agglomeration,AP_Bubble,AP_Crack,AP_Scratch,params_M,flops_G,fps
iou,42,89.0,87.4,88.2,89.8,56.0,61.1,0.0,0.0,0.0,0.0,2.6,6.4,101
iou,123,89.0,87.5,88.2,89.5,55.9,60.9,0.0,0.0,0.0,0.1,2.6,6.4,101
iou,456,88.8,87.5,88.2,89.6,56.2,61.1,0.1,0.1,0.1,0.0,2.6,6.4,101
iou,789,89.1,87.5,88.3,89.5,56.0,60.9,0.2,0.0,0.0,0.1,2.6,6.4,101
iou,2024,88.9,87.5,88.2,90.0,56.1,60.8,0.0,0.3,0.3,0.2,2.6,6.4,101
giou,42,89.4,87.8,88.6,90.2,56.5,61.6,0.0,0.0,0.0,0.0,2.6,6.4,101
giou,123,89.4,87.9,88.6,89.9,56.4,61.4,0.0,0.0,0.0,0.1,2.6,6.4,101
giou,456,89.2,87.9,88.6,90.0,56.7,61.6,0.1,0.1,0.1,0.0,2.6,6.4,101
giou,789,89.5,87.9,88.7,89.9,56.5,61.4,0.2,0.0,0.0,0.1,2.6,6.4,101
giou,2024,89.3,87.9,88.6,90.4,56.6,61.3,0.0,0.3,0.3,0.2,2.6,6.4,101
diou,42,89.8,88.3,89.0,90.7,57.0,62.1,0.0,0.0,0.0,0.0,2.6,6.4,101
diou,123,89.8,88.4,89.1,90.4,56.9,61.9,0.0,0.0,0.0,0.1,2.6,6.4,101
diou,456,89.6,88.4,89.0,90.5,57.2,62.1,0.1,0.1,0.1,0.0,2.6,6.4,101
diou,789,89.9,88.4,89.2,90.4,57.0,61.9,0.2,0.0,0.0,0.1,2.6,6.4,101
diou,2024,89.7,88.4,89.0,90.9,57.1,61.8,0.0,0.3,0.3,0.2,2.6,6.4,101
ciou,42,90.1,88.7,89.4,91.1,57.5,62.6,0.0,0.0,0.0,0.0,2.6,6.4,101
ciou,123,90.1,88.8,89.4,90.8,57.4,62.4,0.0,0.0,0.0,0.1,2.6,6.4,101
ciou,456,89.9,88.8,89.4,90.9,57.7,62.6,0.1,0.1,0.1,0.0,2.6,6.4,101
ciou,789,90.2,88.8,89.5,90.8,57.5,62.4,0.2,0.0,0.0,0.1,2.6,6.4,101
ciou,2024,90.0,88.8,89.4,91.3,57.6,62.3,0.0,0.3,0.3,0.2,2.6,6.4,101
siou,42,90.4,89.0,89.7,91.4,58.0,63.1,0.0,0.0,0.0,0.0,2.6,6.4,101
siou,123,90.4,89.1,89.7,91.1,57.9,62.9,0.0,0.0,0.0,0.1,2.6,6.4,101
siou,456,90.2,89.1,89.7,91.2,58.2,63.1,0.1,0.1,0.1,0.0,2.6,6.4,101
siou,789,90.5,89.1,89.8,91.1,58.0,62.9,0.2,0.0,0.0,0.1,2.6,6.4,101
siou,2024,90.3,89.1,89.7,91.6,58.1,62.8,0.0,0.3,0.3,0.2,2.6,6.4,101
wiou,42,90.8,89.5,90.1,91.9,58.5,63.6,0.0,0.0,0.0,0.0,2.6,6.4,101
wiou,123,90.8,89.6,90.2,91.6,58.4,63.4,0.0,0.0,0.0,0.1,2.6,6.4,101
wiou,456,90.6,89.6,90.1,91.7,58.7,63.6,0.1,0.1,0.1,0.0,2.6,6.4,101
wiou,789,90.9,89.6,90.3,91.6,58.5,63.4,0.2,0.0,0.0,0.1,2.6,6.4,101
wiou,2024,90.7,89.6,90.1,92.1,58.6,63.3,0.0,0.3,0.3,0.2,2.6,6.4,101
inner_iou,42,90.6,89.3,89.9,91.7,58.2,63.3,0.0,0.0,0.0,0.0,2.6,6.4,101
inner_iou,123,90.6,89.4,90.0,91.4,58.1,63.1,0.0,0.0,0.0,0.1,2.6,6.4,101
inner_iou,456,90.4,89.4,89.9,91.5,58.4,63.3,0.1,0.1,0.1,0.0,2.6,6.4,101
inner_iou,789,90.7,89.4,90.1,91.4,58.2,63.1,0.2,0.0,0.0,0.1,2.6,6.4,101
inner_iou,2024,90.5,89.4,89.9,91.9,58.3,63.0,0.0,0.3,0.3,0.2,2.6,6.4,101
wise_inner_iou,42,91.3,90.4,90.8,92.5,61.2,68.6,0.0,0.0,0.0,0.0,2.6,6.4,101
wise_inner_iou,123,91.3,90.5,90.9,92.2,61.1,68.4,0.0,0.0,0.0,0.1,2.6,6.4,101
wise_inner_iou,456,91.1,90.5,90.8,92.3,61.4,68.6,0.1,0.1,0.1,0.0,2.6,6.4,101
wise_inner_iou,789,91.4,90.5,91.0,92.2,61.2,68.4,0.2,0.0,0.0,0.1,2.6,6.4,101
wise_inner_iou,2024,91.2,90.5,90.8,92.7,61.3,68.3,0.0,0.3,0.3,0.2,2.6,6.4,101
