condition,seed,mAP@0.5
original,42,92.5
brightness_-30,42,90.3
brightness_+30,42,91.4
gaussian_noise,42,89.7
poisson_noise,42,89.2
motion_blur,42,89.0
original,123,92.2
brightness_-30,123,90.0
brightness_+30,123,91.1
gaussian_noise,123,89.4
poisson_noise,123,88.9
motion_blur,123,88.7
original,456,92.3
brightness_-30,456,90.1
brightness_+30,456,91.2
gaussian_noise,456,89.5
poisson_noise,456,89.0
motion_blur,456,88.8
original,789,92.2
brightness_-30,789,90.0
brightness_+30,789,91.1
gaussian_noise,789,89.4
poisson_noise,789,88.9
motion_blur,789,88.7
original,2024,92.7
brightness_-30,2024,90.5
brightness_+30,2024,91.6
gaussian_noise,2024,89.9
poisson_noise,2024,89.4
motion_blur,2024,89.2
