epoch,train/box_loss,train/cls_loss,val/box_loss,val/cls_loss,metrics/mAP50(B)
0,1.2859,2.5,1.2459,2.4,0.0038
1,1.2693,2.5,1.2312,2.4,0.002
2,1.2583,2.5,1.222,2.4,0.0044
3,1.2402,2.5,1.2058,2.4,0.0071
4,1.22,2.4708,1.1873,2.4,0.002
5,1.2039,2.4552,1.1728,2.4,0.0021
6,1.1931,2.4071,1.1637,2.3569,0.0076
7,1.1674,2.3767,1.1397,2.3296,0.0053
8,1.157,2.3461,1.1309,2.302,0.0017
9,1.1374,2.3463,1.1128,2.3052,0.0049
10,1.1218,2.3138,1.0987,2.2757,0.002
11,1.113,2.2828,1.0914,2.2474,0.0022
12,1.0965,2.2604,1.0763,2.2278,0.0044
13,1.0815,2.2243,1.0627,2.1945,0.001
14,1.0692,2.2284,1.0518,2.2013,0.001
15,1.0483,2.1857,1.0323,2.1612,0.0025
16,1.0374,2.1616,1.0226,2.1397,0.0013
17,1.0183,2.1429,1.0049,2.1235,0.0055
18,1.0077,2.1176,0.9955,2.1007,0.002
19,0.9918,2.0925,0.9808,2.078,0.001
20,0.9795,2.0616,0.9696,2.0495,0.0095
21,0.9687,2.0492,0.96,2.0394,0.0046
22,0.9486,2.0382,0.9411,2.0307,0.0057
23,0.9503,2.0119,0.9439,2.0066,0.0015
24,0.9222,1.9922,0.9168,1.9891,0.0043
25,0.9087,1.9539,0.9043,1.9529,0.0065
26,0.9083,1.9288,0.9049,1.93,0.003
27,0.8943,1.9148,0.892,1.918,0.0078
28,0.8816,1.8955,0.8802,1.9008,0.0052
29,0.8699,1.8834,0.8694,1.8906,0.0064
30,0.8551,1.8409,0.8555,1.85,0.0058
31,0.8393,1.8467,0.8406,1.8577,0.0134
32,0.8329,1.8135,0.8351,1.8263,0.0082
33,0.8181,1.7918,0.8211,1.8064,0.0054
34,0.8155,1.7679,0.8193,1.7843,0.0113
35,0.7991,1.7437,0.8038,1.7618,0.0056
36,0.7852,1.7447,0.7906,1.7645,0.0102
37,0.7773,1.7201,0.7835,1.7416,0.0041
38,0.7707,1.6908,0.7776,1.7139,0.0064
39,0.7557,1.6726,0.7633,1.6973,0.0114
40,0.7445,1.6624,0.7528,1.6886,0.0135
41,0.74,1.6607,0.749,1.6884,0.0122
42,0.7303,1.6278,0.74,1.657,0.0118
43,0.7171,1.6005,0.7273,1.6312,0.0118
44,0.7079,1.5935,0.7188,1.6256,0.0088
45,0.7021,1.5764,0.7136,1.6098,0.0116
46,0.6847,1.5403,0.6967,1.5751,0.0129
47,0.6759,1.545,0.6885,1.5811,0.018
48,0.6705,1.5273,0.6837,1.5647,0.0165
49,0.6643,1.5186,0.6781,1.5572,0.0108
50,0.6584,1.5119,0.6726,1.5518,0.0177
51,0.6558,1.4904,0.6705,1.5315,0.0162
52,0.6444,1.4638,0.6596,1.506,0.0161
53,0.6311,1.4417,0.6468,1.4851,0.0207
54,0.6237,1.456,0.6399,1.5005,0.0227
55,0.6109,1.4209,0.6275,1.4664,0.0232
56,0.608,1.4058,0.625,1.4523,0.0187
57,0.5989,1.3908,0.6163,1.4384,0.0211
58,0.5944,1.3782,0.6122,1.4268,0.0239
59,0.5811,1.3612,0.5993,1.4108,0.0267
60,0.5805,1.3436,0.5991,1.3942,0.0233
61,0.5783,1.3299,0.5972,1.3814,0.0252
62,0.5629,1.3202,0.5822,1.3726,0.0235
63,0.5584,1.3026,0.5781,1.3558,0.0243
64,0.5529,1.2878,0.5729,1.3419,0.0314
65,0.5406,1.281,0.5609,1.336,0.0342
66,0.537,1.265,0.5576,1.3208,0.0311
67,0.5293,1.2661,0.5502,1.3227,0.0355
68,0.5232,1.2201,0.5444,1.2774,0.0349
69,0.5124,1.2373,0.5338,1.2954,0.0332
70,0.51,1.2261,0.5317,1.2849,0.0376
71,0.5062,1.1872,0.5281,1.2467,0.0426
72,0.5048,1.1888,0.5269,1.249,0.0393
73,0.4962,1.1765,0.5187,1.2374,0.0457
74,0.4962,1.1563,0.5189,1.2178,0.0347
75,0.4757,1.1495,0.4986,1.2117,0.0467
76,0.4781,1.1352,0.5012,1.198,0.0462
77,0.469,1.1466,0.4922,1.21,0.0469
78,0.4734,1.1287,0.4968,1.1927,0.0499
79,0.4529,1.1202,0.4765,1.1847,0.0456
80,0.4472,1.1047,0.471,1.1698,0.0528
81,0.4431,1.0789,0.467,1.1445,0.0566
82,0.4301,1.073,0.4542,1.139,0.0621
83,0.4329,1.0704,0.4572,1.1369,0.0584
84,0.4266,1.0461,0.451,1.1132,0.0598
85,0.4261,1.0511,0.4506,1.1187,0.0631
86,0.422,1.0332,0.4467,1.1011,0.0698
87,0.4248,1.0219,0.4496,1.0903,0.0705
88,0.4153,1.0205,0.4402,1.0893,0.0706
89,0.4029,1.0084,0.4279,1.0776,0.0764
90,0.3966,0.9921,0.4217,1.0617,0.078
91,0.3989,0.9946,0.4241,1.0646,0.0835
92,0.3853,0.9671,0.4106,1.0374,0.0815
93,0.3966,0.9711,0.4219,1.0418,0.0857
94,0.3889,0.9616,0.4143,1.0326,0.0887
95,0.3763,0.9451,0.4018,1.0164,0.0888
96,0.3657,0.941,0.3914,1.0127,0.0975
97,0.3768,0.9194,0.4025,0.9913,0.101
98,0.3653,0.9278,0.3911,1.0,0.1038
99,0.368,0.9101,0.3938,0.9826,0.1069
100,0.3498,0.8987,0.3756,0.9714,0.1072
101,0.3508,0.9026,0.3766,0.9756,0.1142
102,0.3499,0.8801,0.3758,0.9533,0.1185
103,0.3462,0.866,0.3722,0.9395,0.1214
104,0.3399,0.8565,0.3659,0.9302,0.1277
