epoch,train/box_loss,train/cls_loss,val/box_loss,val/cls_loss,metrics/mAP50(B)
0,1.29,2.68,1.26,2.52,0.0022
1,1.2721,2.6502,1.244,2.4948,0.0023
2,1.2545,2.6207,1.2282,2.47,0.0024
3,1.2372,2.5916,1.2127,2.4453,0.0025
4,1.2201,2.5628,1.1974,2.421,0.0026
5,1.2033,2.5344,1.1823,2.3969,0.0027
6,1.1867,2.5063,1.1673,2.3731,0.0028
7,1.1704,2.4786,1.1526,2.3495,0.0029
8,1.1543,2.4512,1.1382,2.3263,0.003
9,1.1385,2.4241,1.1239,2.3032,0.0031
10,1.1228,2.3973,1.1098,2.2804,0.0033
11,1.1075,2.3709,1.0959,2.2579,0.0034
12,1.0923,2.3447,1.0822,2.2356,0.0035
13,1.0774,2.3189,1.0686,2.2135,0.0037
14,1.0627,2.2934,1.0553,2.1917,0.0038
15,1.0482,2.2682,1.0422,2.1702,0.004
16,1.034,2.2433,1.0292,2.1488,0.0042
17,1.0199,2.2187,1.0164,2.1277,0.0043
18,1.0061,2.1943,1.0038,2.1069,0.0045
19,0.9924,2.1703,0.9914,2.0862,0.0047
20,0.979,2.1466,0.9792,2.0658,0.0049
21,0.9657,2.1231,0.9671,2.0456,0.0051
22,0.9527,2.0999,0.9552,2.0256,0.0053
23,0.9399,2.077,0.9434,2.0059,0.0055
24,0.9272,2.0544,0.9318,1.9863,0.0057
25,0.9147,2.032,0.9204,1.967,0.0059
26,0.9025,2.01,0.9091,1.9479,0.0062
27,0.8904,1.9881,0.898,1.929,0.0064
28,0.8785,1.9666,0.8871,1.9103,0.0067
29,0.8667,1.9452,0.8763,1.8918,0.007
30,0.8552,1.9242,0.8656,1.8735,0.0073
31,0.8438,1.9034,0.8551,1.8554,0.0076
32,0.8325,1.8828,0.8447,1.8375,0.0079
33,0.8215,1.8625,0.8345,1.8198,0.0082
34,0.8106,1.8424,0.8245,1.8023,0.0085
35,0.7999,1.8226,0.8145,1.785,0.0089
36,0.7893,1.803,0.8047,1.7679,0.0092
37,0.7789,1.7837,0.7951,1.751,0.0096
38,0.7686,1.7645,0.7855,1.7342,0.01
39,0.7585,1.7456,0.7762,1.7177,0.0104
40,0.7486,1.727,0.7669,1.7013,0.0108
41,0.7388,1.7085,0.7578,1.6851,0.0112
42,0.7291,1.6903,0.7488,1.6691,0.0117
43,0.7196,1.6723,0.7399,1.6532,0.0122
44,0.7102,1.6545,0.7311,1.6375,0.0127
45,0.701,1.6369,0.7225,1.622,0.0132
46,0.6919,1.6195,0.714,1.6067,0.0137
