epoch,train/box_loss,train/cls_loss,val/box_loss,val/cls_loss,metrics/mAP50(B)
0,1.2859,2.5,1.2459,2.4,0.0037
1,1.2693,2.5,1.2312,2.4,0.0019
2,1.2583,2.5,1.222,2.4,0.0043
3,1.2402,2.5,1.2058,2.4,0.0071
4,1.22,2.4808,1.1873,2.4,0.0019
5,1.2039,2.4652,1.1728,2.4,0.002
6,1.1931,2.4171,1.1637,2.3669,0.0075
7,1.1674,2.3867,1.1397,2.3396,0.0052
8,1.157,2.3561,1.1309,2.312,0.0016
9,1.1374,2.3563,1.1128,2.3152,0.0048
10,1.1218,2.3238,1.0987,2.2857,0.0019
11,1.113,2.2928,1.0914,2.2574,0.002
12,1.0965,2.2704,1.0763,2.2378,0.0043
13,1.0815,2.2343,1.0627,2.2045,0.001
14,1.0692,2.2384,1.0518,2.2113,0.001
15,1.0483,2.1957,1.0323,2.1712,0.0023
16,1.0374,2.1716,1.0226,2.1497,0.0011
17,1.0183,2.1529,1.0049,2.1335,0.0053
18,1.0077,2.1276,0.9955,2.1107,0.0018
19,0.9918,2.1025,0.9808,2.088,0.001
20,0.9795,2.0716,0.9696,2.0595,0.0093
21,0.9687,2.0592,0.96,2.0494,0.0044
22,0.9486,2.0482,0.9411,2.0407,0.0055
23,0.9503,2.0219,0.9439,2.0166,0.0013
24,0.9222,2.0022,0.9168,1.9991,0.0041
25,0.9087,1.9639,0.9043,1.9629,0.0063
26,0.9083,1.9388,0.9049,1.94,0.0028
27,0.8943,1.9248,0.892,1.928,0.0076
28,0.8816,1.9055,0.8802,1.9108,0.0049
29,0.8699,1.8934,0.8694,1.9006,0.0061
30,0.8551,1.8509,0.8555,1.86,0.0055
31,0.8393,1.8567,0.8406,1.8677,0.0132
32,0.8329,1.8235,0.8351,1.8363,0.0079
33,0.8181,1.8018,0.8211,1.8164,0.0051
34,0.8155,1.7779,0.8193,1.7943,0.011
35,0.7991,1.7537,0.8038,1.7718,0.0053
36,0.7852,1.7547,0.7906,1.7745,0.0099
37,0.7773,1.7301,0.7835,1.7516,0.0038
38,0.7707,1.7008,0.7776,1.7239,0.0061
39,0.7557,1.6826,0.7633,1.7073,0.011
40,0.7445,1.6724,0.7528,1.6986,0.0131
41,0.74,1.6707,0.749,1.6984,0.0118
42,0.7303,1.6378,0.74,1.667,0.0114
43,0.7171,1.6105,0.7273,1.6412,0.0113
44,0.7079,1.6035,0.7188,1.6356,0.0083
45,0.7021,1.5864,0.7136,1.6198,0.0111
46,0.6847,1.5503,0.6967,1.5851,0.0124
47,0.6759,1.555,0.6885,1.5911,0.0175
48,0.6705,1.5373,0.6837,1.5747,0.016
49,0.6643,1.5286,0.6781,1.5672,0.0102
50,0.6584,1.5219,0.6726,1.5618,0.0171
51,0.6558,1.5004,0.6705,1.5415,0.0156
52,0.6444,1.4738,0.6596,1.516,0.0154
53,0.6311,1.4517,0.6468,1.4951,0.02
54,0.6237,1.466,0.6399,1.5105,0.022
55,0.6109,1.4309,0.6275,1.4764,0.0225
56,0.608,1.4158,0.625,1.4623,0.0179
57,0.5989,1.4008,0.6163,1.4484,0.0203
58,0.5944,1.3882,0.6122,1.4368,0.0231
59,0.5811,1.3712,0.5993,1.4208,0.0259
60,0.5805,1.3536,0.5991,1.4042,0.0225
61,0.5783,1.3399,0.5972,1.3914,0.0243
62,0.5629,1.3302,0.5822,1.3826,0.0225
63,0.5584,1.3126,0.5781,1.3658,0.0233
64,0.5529,1.2978,0.5729,1.3519,0.0304
65,0.5406,1.291,0.5609,1.346,0.0331
66,0.537,1.275,0.5576,1.3308,0.03
67,0.5293,1.2761,0.5502,1.3327,0.0344
68,0.5232,1.2301,0.5444,1.2874,0.0337
69,0.5124,1.2473,0.5338,1.3054,0.032
70,0.51,1.2361,0.5317,1.2949,0.0363
71,0.5062,1.1972,0.5281,1.2567,0.0412
72,0.5048,1.1988,0.5269,1.259,0.038
73,0.4962,1.1865,0.5187,1.2474,0.0443
74,0.4962,1.1663,0.5189,1.2278,0.0332
75,0.4757,1.1595,0.4986,1.2217,0.0452
76,0.4781,1.1452,0.5012,1.208,0.0446
77,0.469,1.1566,0.4922,1.22,0.0452
78,0.4734,1.1387,0.4968,1.2027,0.0482
