epoch,train/box_loss,train/cls_loss,val/box_loss,val/cls_loss,metrics/mAP50(B)
0,1.2947,2.5,1.25,2.4,0.0072
1,1.2765,2.5,1.2384,2.4,0.0045
2,1.2553,2.5,1.219,2.4,0.0018
3,1.2295,2.4998,1.195,2.4,0.002
4,1.2192,2.4708,1.1864,2.4,0.0053
5,1.2125,2.447,1.1814,2.3937,0.0062
6,1.1876,2.4194,1.1582,2.3693,0.001
7,1.1686,2.374,1.1408,2.327,0.001
8,1.1513,2.355,1.1252,2.3109,0.0044
9,1.1302,2.3247,1.1056,2.2836,0.0035
10,1.124,2.3152,1.1009,2.2771,0.0065
11,1.1196,2.2744,1.098,2.239,0.0083
12,1.0887,2.2515,1.0686,2.2189,0.001
13,1.0757,2.2315,1.057,2.2017,0.0029
14,1.0655,2.2015,1.0481,2.1744,0.0074
15,1.0406,2.1798,1.0246,2.1553,0.0066
16,1.0371,2.174,1.0223,2.1521,0.0029
17,1.0199,2.13,1.0065,2.1106,0.0036
18,0.9996,2.1163,0.9874,2.0993,0.0074
19,0.9926,2.0882,0.9816,2.0737,0.0024
20,0.9879,2.0819,0.9781,2.0697,0.0055
21,0.9632,2.0575,0.9545,2.0477,0.0093
22,0.9452,2.032,0.9376,2.0245,0.001
23,0.9437,1.9935,0.9372,1.9882,0.0011
24,0.9225,1.9761,0.9171,1.973,0.0087
25,0.9201,1.9541,0.9157,1.9532,0.0033
26,0.9008,1.923,0.8975,1.9242,0.0051
27,0.8968,1.9221,0.8945,1.9253,0.0019
28,0.8777,1.8964,0.8763,1.9016,0.0057
29,0.8629,1.8807,0.8625,1.8879,0.0089
30,0.8565,1.8585,0.857,1.8676,0.0094
31,0.8426,1.8307,0.8439,1.8416,0.0099
32,0.8267,1.8037,0.8289,1.8165,0.0036
33,0.8208,1.7914,0.8238,1.8061,0.007
34,0.8044,1.7754,0.8082,1.7918,0.0065
35,0.7918,1.748,0.7964,1.7661,0.0085
36,0.79,1.7293,0.7955,1.7492,0.0127
37,0.7791,1.7351,0.7853,1.7566,0.0106
38,0.7763,1.7131,0.7833,1.7361,0.0096
39,0.7531,1.6836,0.7607,1.7082,0.011
40,0.7485,1.6842,0.7569,1.7104,0.0138
41,0.7337,1.6555,0.7427,1.6832,0.0113
42,0.7334,1.6271,0.743,1.6563,0.0135
43,0.7235,1.6106,0.7338,1.6412,0.0111
44,0.7118,1.596,0.7227,1.6281,0.0129
45,0.7108,1.5781,0.7223,1.6116,0.0123
46,0.6988,1.5772,0.7109,1.6119,0.0162
47,0.6804,1.5434,0.693,1.5795,0.0145
48,0.6773,1.5296,0.6905,1.567,0.011
49,0.6638,1.5048,0.6775,1.5434,0.0123
50,0.6572,1.5022,0.6715,1.542,0.015
51,0.6431,1.483,0.6578,1.5241,0.0172
52,0.6399,1.4738,0.6551,1.516,0.0229
53,0.6403,1.4369,0.656,1.4803,0.0198
54,0.6201,1.4265,0.6363,1.4709,0.0173
55,0.6077,1.4173,0.6243,1.4628,0.0224
