epoch,train/box_loss,train/cls_loss,val/box_loss,val/cls_loss,metrics/mAP50(B)
0,1.2938,2.5,1.25,2.4,0.001
1,1.268,2.5,1.2299,2.4,0.0053
2,1.2512,2.5,1.215,2.4,0.0033
3,1.2403,2.4922,1.2058,2.4,0.001
4,1.2194,2.4769,1.1866,2.4,0.001
5,1.2099,2.4426,1.1788,2.3893,0.0077
6,1.1832,2.4289,1.1538,2.3788,0.001
7,1.1741,2.378,1.1464,2.3309,0.0017
8,1.156,2.3636,1.1299,2.3196,0.0069
9,1.1378,2.3347,1.1132,2.2936,0.001
10,1.1287,2.3108,1.1056,2.2727,0.0013
11,1.1109,2.296,1.0893,2.2606,0.0032
12,1.0873,2.2628,1.0671,2.2303,0.0081
13,1.0806,2.2242,1.0618,2.1944,0.0019
14,1.0696,2.2131,1.0522,2.186,0.0026
15,1.0476,2.1813,1.0315,2.1568,0.0028
16,1.0327,2.1569,1.018,2.135,0.0109
17,1.0166,2.1455,1.0031,2.1261,0.011
18,1.006,2.1089,0.9938,2.092,0.0076
19,0.9958,2.0877,0.9848,2.0732,0.0059
20,0.9749,2.0682,0.9651,2.0561,0.0072
21,0.959,2.053,0.9503,2.0432,0.0097
22,0.9508,2.0278,0.9433,2.0203,0.0026
23,0.933,1.9993,0.9265,1.994,0.0091
24,0.9298,1.9773,0.9244,1.9742,0.0021
25,0.9126,1.9487,0.9083,1.9477,0.0042
26,0.8937,1.9307,0.8903,1.9318,0.0091
27,0.8886,1.9106,0.8863,1.9138,0.0023
28,0.8775,1.8939,0.8761,1.8991,0.0064
29,0.869,1.8905,0.8685,1.8977,0.0045
30,0.8544,1.849,0.8549,1.8581,0.0067
31,0.8531,1.8321,0.8544,1.8431,0.001
32,0.8299,1.7983,0.8321,1.8111,0.0027
33,0.8212,1.8,0.8242,1.8147,0.0063
34,0.8101,1.7633,0.8139,1.7797,0.0115
35,0.7985,1.7497,0.8031,1.7678,0.0085
36,0.79,1.7464,0.7954,1.7663,0.0094
37,0.7816,1.7027,0.7878,1.7241,0.0119
38,0.7753,1.7019,0.7822,1.725,0.0076
39,0.7507,1.6894,0.7583,1.7141,0.0115
40,0.746,1.6773,0.7543,1.7035,0.0086
41,0.7365,1.64,0.7455,1.6677,0.0063
42,0.7338,1.6249,0.7434,1.6541,0.0108
43,0.7178,1.627,0.7281,1.6576,0.0142
44,0.7007,1.5953,0.7116,1.6273,0.014
45,0.7014,1.5727,0.7129,1.6061,0.0134
46,0.6917,1.5562,0.7038,1.5909,0.0212
47,0.6838,1.5376,0.6965,1.5737,0.0158
48,0.6689,1.5256,0.6821,1.563,0.0181
49,0.674,1.5218,0.6877,1.5604,0.0225
50,0.6552,1.5043,0.6695,1.5441,0.0125
51,0.6475,1.472,0.6622,1.5131,0.0139
52,0.6356,1.4676,0.6508,1.5098,0.023
53,0.6272,1.4474,0.6429,1.4907,0.0161
54,0.6177,1.4417,0.6339,1.4861,0.0193
55,0.6139,1.4192,0.6305,1.4647,0.0232
56,0.6033,1.4086,0.6203,1.4552,0.0234
57,0.6106,1.3898,0.628,1.4374,0.0269
58,0.5833,1.3591,0.6011,1.4077,0.0269
59,0.5796,1.3627,0.5978,1.4123,0.0266
60,0.5759,1.338,0.5945,1.3886,0.022
61,0.574,1.3402,0.5929,1.3917,0.0276
62,0.5614,1.3151,0.5807,1.3675,0.0272
63,0.5598,1.3021,0.5794,1.3553,0.0233
64,0.5445,1.2934,0.5645,1.3475,0.0326
65,0.5429,1.2848,0.5632,1.3398,0.0319
66,0.5446,1.2657,0.5652,1.3215,0.0308
67,0.5244,1.2672,0.5453,1.3238,0.0312
68,0.5248,1.2545,0.546,1.3118,0.0295
69,0.5173,1.2423,0.5387,1.3004,0.035
70,0.4987,1.2142,0.5204,1.2731,0.0372
71,0.5007,1.1919,0.5227,1.2514,0.0347
72,0.5032,1.2013,0.5253,1.2615,0.0422
73,0.4921,1.1761,0.5145,1.237,0.0369
74,0.4794,1.1679,0.502,1.2294,0.0354
75,0.483,1.1608,0.5059,1.223,0.0465
76,0.4714,1.1313,0.4944,1.1941,0.0439
77,0.4699,1.1457,0.4931,1.209,0.0464
78,0.4643,1.1283,0.4878,1.1922,0.0461
79,0.4513,1.1129,0.4749,1.1774,0.0457
80,0.4554,1.1061,0.4792,1.1711,0.0562
81,0.441,1.0924,0.465,1.158,0.0524
82,0.4342,1.0781,0.4583,1.1442,0.0616
83,0.4311,1.064,0.4554,1.1306,0.0612
84,0.4287,1.05,0.4531,1.117,0.06
85,0.4259,1.0477,0.4504,1.1152,0.06
86,0.4165,1.038,0.4411,1.106,0.0635
87,0.4191,1.0336,0.4439,1.102,0.0646
88,0.4118,1.0164,0.4367,1.0852,0.077
89,0.4023,0.998,0.4273,1.0673,0.0739
90,0.4055,0.9824,0.4306,1.052,0.0796
91,0.4023,0.9843,0.4275,1.0543,0.0752
92,0.3914,0.9755,0.4167,1.0458,0.0825
93,0.3863,0.9654,0.4117,1.0361,0.0886
94,0.3741,0.9446,0.3996,1.0156,0.0872
95,0.3766,0.9562,0.4021,1.0275,0.0945
96,0.3729,0.947,0.3985,1.0186,0.0915
97,0.3713,0.9228,0.397,0.9947,0.0941
98,0.3651,0.9269,0.3908,0.9991,0.1029
99,0.363,0.9192,0.3888,0.9917,0.1043
100,0.3654,0.9032,0.3913,0.9759,0.1112
