epoch,train/box_loss,train/cls_loss,val/box_loss,val/cls_loss,metrics/mAP50(B)
0,1.2947,2.5,1.25,2.4,0.0073
1,1.2765,2.5,1.2384,2.4,0.0046
2,1.2553,2.5,1.219,2.4,0.0018
3,1.2295,2.4998,1.195,2.4,0.0021
4,1.2192,2.4708,1.1864,2.4,0.0054
5,1.2125,2.447,1.1814,2.3937,0.0062
6,1.1876,2.4194,1.1582,2.3693,0.001
7,1.1686,2.374,1.1408,2.327,0.001
8,1.1513,2.355,1.1252,2.3109,0.0045
9,1.1302,2.3247,1.1056,2.2836,0.0035
10,1.124,2.3152,1.1009,2.2771,0.0065
11,1.1196,2.2744,1.098,2.239,0.0084
12,1.0887,2.2515,1.0686,2.2189,0.001
13,1.0757,2.2315,1.057,2.2017,0.003
14,1.0655,2.2015,1.0481,2.1744,0.0075
15,1.0406,2.1798,1.0246,2.1553,0.0067
16,1.0371,2.174,1.0223,2.1521,0.003
17,1.0199,2.13,1.0065,2.1106,0.0037
18,0.9996,2.1163,0.9874,2.0993,0.0075
19,0.9926,2.0882,0.9816,2.0737,0.0025
20,0.9879,2.0819,0.9781,2.0697,0.0056
21,0.9632,2.0575,0.9545,2.0477,0.0094
22,0.9452,2.032,0.9376,2.0245,0.001
23,0.9437,1.9935,0.9372,1.9882,0.0012
24,0.9225,1.9761,0.9171,1.973,0.0089
25,0.9201,1.9541,0.9157,1.9532,0.0035
26,0.9008,1.923,0.8975,1.9242,0.0053
27,0.8968,1.9221,0.8945,1.9253,0.002
28,0.8777,1.8964,0.8763,1.9016,0.0058
29,0.8629,1.8807,0.8625,1.8879,0.0091
30,0.8565,1.8585,0.857,1.8676,0.0095
31,0.8426,1.8307,0.8439,1.8416,0.01
32,0.8267,1.8037,0.8289,1.8165,0.0038
33,0.8208,1.7914,0.8238,1.8061,0.0071
34,0.8044,1.7754,0.8082,1.7918,0.0067
35,0.7918,1.748,0.7964,1.7661,0.0087
36,0.79,1.7293,0.7955,1.7492,0.0129
37,0.7791,1.7351,0.7853,1.7566,0.0109
38,0.7763,1.7131,0.7833,1.7361,0.0099
39,0.7531,1.6836,0.7607,1.7082,0.0112
40,0.7485,1.6842,0.7569,1.7104,0.014
41,0.7337,1.6555,0.7427,1.6832,0.0116
42,0.7334,1.6271,0.743,1.6563,0.0138
43,0.7235,1.6106,0.7338,1.6412,0.0113
44,0.7118,1.596,0.7227,1.6281,0.0131
45,0.7108,1.5781,0.7223,1.6116,0.0126
46,0.6988,1.5772,0.7109,1.6119,0.0165
47,0.6804,1.5434,0.693,1.5795,0.0148
48,0.6773,1.5296,0.6905,1.567,0.0113
49,0.6638,1.5048,0.6775,1.5434,0.0126
50,0.6572,1.5022,0.6715,1.542,0.0154
51,0.6431,1.483,0.6578,1.5241,0.0176
52,0.6399,1.4738,0.6551,1.516,0.0233
53,0.6403,1.4369,0.656,1.4803,0.0202
54,0.6201,1.4265,0.6363,1.4709,0.0177
55,0.6077,1.4173,0.6243,1.4628,0.0229
56,0.606,1.3946,0.623,1.4412,0.0245
57,0.5999,1.3735,0.6174,1.4211,0.0218
58,0.5932,1.3666,0.611,1.4153,0.0257
59,0.5819,1.371,0.6001,1.4206,0.02
60,0.5753,1.3485,0.5939,1.3991,0.0297
61,0.5794,1.3477,0.5983,1.3992,0.0231
62,0.5665,1.3101,0.5858,1.3624,0.0272
63,0.5566,1.3134,0.5762,1.3666,0.023
64,0.5475,1.2945,0.5675,1.3486,0.03
65,0.5334,1.2771,0.5537,1.3321,0.0318
66,0.5458,1.2551,0.5664,1.3109,0.0237
67,0.526,1.25,0.5468,1.3066,0.0321
68,0.5204,1.2437,0.5415,1.301,0.0317
69,0.525,1.233,0.5464,1.2911,0.0361
70,0.5138,1.2271,0.5355,1.2859,0.0314
71,0.5062,1.1967,0.5281,1.2563,0.0432
72,0.4898,1.1966,0.512,1.2568,0.0385
73,0.4932,1.185,0.5156,1.2458,0.0395
74,0.4819,1.1694,0.5045,1.231,0.0393
75,0.4904,1.1491,0.5133,1.2113,0.0467
76,0.4744,1.1476,0.4975,1.2104,0.0502
77,0.4722,1.1345,0.4955,1.1979,0.0433
78,0.4627,1.1152,0.4861,1.1792,0.0474
79,0.4637,1.1001,0.4873,1.1646,0.0536
80,0.4527,1.1021,0.4765,1.1672,0.0543
81,0.4397,1.0853,0.4637,1.1508,0.0525
82,0.4294,1.0849,0.4535,1.151,0.0577
83,0.4363,1.0644,0.4605,1.131,0.0621
84,0.4261,1.0484,0.4505,1.1155,0.0587
85,0.4355,1.0399,0.4601,1.1074,0.0653
86,0.4258,1.0451,0.4504,1.1131,0.0694
87,0.4163,1.0182,0.441,1.0866,0.0689
88,0.4162,0.9997,0.4411,1.0685,0.0693
89,0.4025,1.0001,0.4275,1.0693,0.0757
90,0.3871,0.9946,0.4122,1.0642,0.0753
91,0.3932,0.9885,0.4184,1.0585,0.0868
92,0.3935,0.9804,0.4188,1.0507,0.0795
93,0.3779,0.9597,0.4033,1.0304,0.0866
94,0.3824,0.9577,0.4079,1.0287,0.0929
95,0.3821,0.9575,0.4076,1.0288,0.0907
96,0.3683,0.9426,0.3939,1.0142,0.0917
97,0.3708,0.9191,0.3965,0.991,0.0956
98,0.3694,0.9032,0.3951,0.9754,0.0999
99,0.3608,0.9059,0.3866,0.9783,0.1045
100,0.3685,0.8946,0.3943,0.9674,0.1103
101,0.349,0.9038,0.3749,0.9768,0.1143
